ShipMode,Segment,Country,City,StateName,PostalCode,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,17.02,2,0.20,1.70
"First Class",Consumer,"United States","New York City","New York",10024,East,Furniture,Furnishings,113.79,3,0.00,20.48
"Standard Class",Consumer,"United States","Los Angeles",California,90045,West,Furniture,Furnishings,8.73,1,0.00,2.97
"Same Day",Consumer,"United States","Boynton Beach",Florida,33437,South,Furniture,Furnishings,47.95,3,0.20,13.79
"Same Day",Consumer,"United States","Boynton Beach",Florida,33437,South,Furniture,Furnishings,63.97,2,0.20,0.00
"Same Day",Consumer,"United States","Boynton Beach",Florida,33437,South,Furniture,Furnishings,165.05,3,0.20,41.26
"Standard Class",Consumer,"United States",Seattle,Washington,98105,West,Furniture,Furnishings,12.35,1,0.00,5.43
"Second Class",Consumer,"United States",Fresno,California,93727,West,Furniture,Tables,764.69,6,0.20,95.59
"Second Class",Consumer,"United States",Fresno,California,93727,West,Furniture,Tables,3610.85,12,0.20,135.41
"Second Class",Consumer,"United States",Fresno,California,93727,West,Furniture,Bookcases,254.97,3,0.15,12.00
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Chairs,1141.94,9,0.10,139.57
"Standard Class","Home Office","United States",Chester,Pennsylvania,19013,East,Furniture,Furnishings,6.70,1,0.20,0.50
"Standard Class","Home Office","United States",Chester,Pennsylvania,19013,East,Furniture,Furnishings,43.87,2,0.20,11.52
"First Class",Consumer,"United States","La Porte",Indiana,46350,Central,Furniture,Furnishings,41.85,5,0.00,10.88
"Standard Class",Corporate,"United States","Los Angeles",California,90045,West,Furniture,Chairs,292.27,6,0.20,18.27
"Standard Class",Corporate,"United States",Louisville,Colorado,80027,West,Furniture,Furnishings,29.33,3,0.20,3.67
"Same Day",Consumer,"United States","Fort Worth",Texas,76106,Central,Furniture,Chairs,388.43,5,0.30,-88.78
"Standard Class",Corporate,"United States","New York City","New York",10009,East,Furniture,Furnishings,39.88,2,0.00,11.17
"Second Class",Consumer,"United States",Springfield,Virginia,22153,South,Furniture,Furnishings,572.76,6,0.00,166.10
"Second Class",Consumer,"United States",Springfield,Virginia,22153,South,Furniture,Furnishings,286.38,3,0.00,83.05
"Second Class","Home Office","United States",Arlington,Virginia,22204,South,Furniture,Bookcases,61.96,2,0.00,4.34
"Standard Class",Consumer,"United States",Columbus,Georgia,31907,South,Furniture,Furnishings,23.99,1,0.00,5.52
"First Class",Consumer,"United States",Pasadena,California,91104,West,Furniture,Chairs,161.57,2,0.20,-8.08
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,Furniture,Chairs,155.37,2,0.30,-13.32
"Standard Class",Corporate,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,183.84,8,0.00,62.51
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,51.07,6,0.20,5.11
"Standard Class",Consumer,"United States","San Francisco",California,94109,West,Furniture,Furnishings,37.05,3,0.00,16.30
"Standard Class",Consumer,"United States","Los Angeles",California,90008,West,Furniture,Furnishings,25.11,3,0.00,6.53
"Second Class",Consumer,"United States","New York City","New York",10011,East,Furniture,Furnishings,29.78,2,0.00,8.04
"Second Class",Consumer,"United States",Evanston,Illinois,60201,Central,Furniture,Chairs,258.28,3,0.30,-70.10
"Standard Class",Corporate,"United States","San Francisco",California,94109,West,Furniture,Tables,300.90,1,0.20,11.28
"First Class",Consumer,"United States","Fort Worth",Texas,76106,Central,Furniture,Furnishings,1.99,1,0.60,-1.44
"Second Class",Consumer,"United States","Los Angeles",California,90049,West,Furniture,Chairs,145.57,2,0.20,0.00
"First Class",Corporate,"United States",Tucson,Arizona,85705,West,Furniture,Chairs,899.14,4,0.20,-146.11
"First Class","Home Office","United States","Pico Rivera",California,90660,West,Furniture,Furnishings,145.90,5,0.00,62.74
"Standard Class",Consumer,"United States","Colorado Springs",Colorado,80906,West,Furniture,Bookcases,590.06,7,0.70,-786.74
"Standard Class",Consumer,"United States",Provo,Utah,84604,West,Furniture,Tables,912.75,5,0.00,118.66
"Standard Class","Home Office","United States",Aurora,Illinois,60505,Central,Furniture,Furnishings,83.95,3,0.60,-90.25
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,Furniture,Furnishings,18.84,3,0.00,7.16
"Same Day","Home Office","United States",Smyrna,Georgia,30080,South,Furniture,Bookcases,239.98,2,0.00,52.80
"Standard Class",Corporate,"United States",Aurora,Illinois,60505,Central,Furniture,Tables,652.45,5,0.50,-430.62
"Standard Class",Corporate,"United States",Aurora,Illinois,60505,Central,Furniture,Tables,66.65,3,0.50,-42.65
"Standard Class","Home Office","United States",Columbus,Ohio,43229,East,Furniture,Tables,205.18,2,0.40,-58.13
"First Class","Home Office","United States",Philadelphia,Pennsylvania,19143,East,Furniture,Tables,154.76,3,0.40,-36.11
"Standard Class",Consumer,"United States","New York City","New York",10024,East,Furniture,Furnishings,39.98,2,0.00,10.00
"Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,Furniture,Tables,393.17,3,0.50,-204.45
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Chairs,408.01,2,0.10,72.53
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Furnishings,165.28,4,0.00,14.88
"Second Class","Home Office","United States","Costa Mesa",California,92627,West,Furniture,Furnishings,37.74,3,0.00,12.83
"First Class",Corporate,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,4.93,4,0.60,-1.48
"Second Class",Consumer,"United States",Florence,Alabama,35630,South,Furniture,Chairs,1819.86,14,0.00,163.79
"Same Day",Consumer,"United States",Amarillo,Texas,79109,Central,Furniture,Chairs,2453.43,5,0.30,-350.49
"First Class","Home Office","United States",Chicago,Illinois,60653,Central,Furniture,Chairs,470.30,7,0.30,-87.34
"Standard Class","Home Office","United States",Columbus,Georgia,31907,South,Furniture,Tables,452.94,3,0.00,67.94
"Same Day",Consumer,"United States",Middletown,Connecticut,6457,East,Furniture,Furnishings,27.46,2,0.00,9.89
"Standard Class",Consumer,"United States",Vineland,"New Jersey",8360,East,Furniture,Tables,244.01,2,0.30,-31.37
"First Class",Corporate,"United States",Pasadena,Texas,77506,Central,Furniture,Chairs,1024.72,6,0.30,-29.28
"Standard Class",Consumer,"United States",Glendale,Arizona,85301,West,Furniture,Furnishings,121.38,4,0.20,-3.03
"Standard Class",Corporate,"United States",Detroit,Michigan,48234,Central,Furniture,Chairs,872.94,3,0.00,226.96
"Same Day",Consumer,"United States",Houston,Texas,77036,Central,Furniture,Furnishings,6.69,4,0.60,-4.01
"Standard Class","Home Office","United States","Los Angeles",California,90008,West,Furniture,Furnishings,42.60,3,0.00,16.61
"Standard Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Chairs,977.29,6,0.10,173.74
"Standard Class",Corporate,"United States",Vancouver,Washington,98661,West,Furniture,Furnishings,9.64,2,0.00,3.66
"Standard Class","Home Office","United States","Los Angeles",California,90045,West,Furniture,Furnishings,9.94,2,0.00,3.08
"Standard Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Tables,1004.98,6,0.20,-175.87
"First Class",Consumer,"United States","Los Angeles",California,90036,West,Furniture,Furnishings,8.36,2,0.00,3.01
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19120,East,Furniture,Chairs,63.69,1,0.30,-9.10
"Second Class",Consumer,"United States","North Las Vegas",Nevada,89031,West,Furniture,Tables,1669.60,4,0.00,116.87
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,Furniture,Furnishings,206.11,6,0.20,48.95
"Standard Class",Consumer,"United States",Allentown,Pennsylvania,18103,East,Furniture,Furnishings,11.65,2,0.20,3.35
"Standard Class","Home Office","United States","Laguna Niguel",California,92677,West,Furniture,Bookcases,203.98,2,0.15,16.80
"Second Class",Consumer,"United States",Everett,Massachusetts,2149,East,Furniture,Bookcases,782.94,3,0.00,203.56
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,Furniture,Furnishings,8.32,5,0.20,2.29
"Second Class",Corporate,"United States",Watertown,"New York",13601,East,Furniture,Bookcases,1573.49,7,0.20,196.69
"Second Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Tables,171.96,2,0.00,44.71
"Same Day",Consumer,"United States","New York City","New York",10011,East,Furniture,Tables,1044.63,5,0.40,-295.98
"First Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,603.92,5,0.20,-67.94
"First Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,381.44,2,0.20,23.84
"First Class",Consumer,"United States","El Paso",Texas,79907,Central,Furniture,Chairs,763.28,5,0.30,-21.81
"First Class",Consumer,"United States","New York City","New York",10024,East,Furniture,Tables,382.81,9,0.40,-153.12
"First Class",Consumer,"United States","New York City","New York",10024,East,Furniture,Furnishings,47.04,3,0.00,18.35
"First Class",Consumer,"United States","New York City","New York",10024,East,Furniture,Furnishings,6.16,2,0.00,2.96
"First Class","Home Office","United States",Peoria,Illinois,61604,Central,Furniture,Bookcases,359.06,3,0.30,-35.91
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,Furniture,Chairs,47.99,2,0.30,-2.06
"First Class",Corporate,"United States","New York City","New York",10011,East,Furniture,Furnishings,547.30,13,0.00,175.14
"Second Class",Consumer,"United States",Carrollton,Texas,75007,Central,Furniture,Furnishings,15.99,2,0.60,-13.99
"Second Class",Corporate,"United States",Dover,Delaware,19901,East,Furniture,Furnishings,211.96,2,0.00,42.39
"Standard Class",Corporate,"United States","Los Angeles",California,90008,West,Furniture,Bookcases,290.67,2,0.15,27.36
"Standard Class",Consumer,"United States",Kent,Washington,98031,West,Furniture,Furnishings,198.46,2,0.00,99.23
"Standard Class",Consumer,"United States",Lafayette,Louisiana,70506,South,Furniture,Chairs,517.50,6,0.00,155.25
"Second Class",Consumer,"United States",Cleveland,Ohio,44105,East,Furniture,Furnishings,17.92,5,0.20,2.46
"Standard Class",Consumer,"United States",Washington,"District of Columbia",20016,East,Furniture,Furnishings,41.37,3,0.00,17.38
"First Class",Consumer,"United States",Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,34.79,7,0.00,10.78
"Standard Class",Consumer,"United States","New York City","New York",10011,East,Furniture,Tables,1018.10,4,0.40,-373.30
"Standard Class",Corporate,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,21.94,2,0.60,-10.42
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,42.37,2,0.20,8.47
"Standard Class",Corporate,"United States","San Francisco",California,94110,West,Furniture,Furnishings,14.82,3,0.00,6.22
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,310.88,2,0.20,23.32
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,Furniture,Tables,853.09,6,0.40,-227.49
"Standard Class",Consumer,"United States",Columbus,Ohio,43229,East,Furniture,Furnishings,21.88,5,0.20,6.29
"Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Tables,515.88,6,0.00,113.49
"Second Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Chairs,1931.04,9,0.10,321.84
"Standard Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Chairs,71.99,1,0.20,-0.90
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Tables,765.63,7,0.50,-566.56
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Furniture,Bookcases,307.67,2,0.15,-14.48
"Standard Class",Consumer,"United States","New York City","New York",10011,East,Furniture,Furnishings,35.92,4,0.00,15.09
"Standard Class",Consumer,"United States","New York City","New York",10011,East,Furniture,Furnishings,39.76,8,0.00,12.33
"Standard Class",Consumer,"United States",Chicago,Illinois,60623,Central,Furniture,Bookcases,359.06,3,0.30,-71.81
"Second Class",Corporate,"United States",Dublin,Ohio,43017,East,Furniture,Tables,1048.35,5,0.40,-69.89
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,7.17,2,0.20,0.99
"Standard Class","Home Office","United States","San Antonio",Texas,78207,Central,Furniture,Tables,206.96,2,0.30,-32.52
"First Class",Consumer,"United States",Oakland,California,94601,West,Furniture,Furnishings,9.46,2,0.00,3.69
"Standard Class",Consumer,"United States","San Diego",California,92105,West,Furniture,Bookcases,411.33,4,0.15,-4.84
"Standard Class",Consumer,"United States","San Diego",California,92105,West,Furniture,Bookcases,293.20,3,0.15,-20.70
"Standard Class","Home Office","United States",Suffolk,Virginia,23434,South,Furniture,Furnishings,109.80,9,0.00,46.12
"First Class",Consumer,"United States",Madison,Wisconsin,53711,Central,Furniture,Chairs,2807.84,8,0.00,673.88
"Standard Class",Consumer,"United States","San Jose",California,95123,West,Furniture,Furnishings,215.65,5,0.00,73.32
"Standard Class","Home Office","United States",Auburn,Washington,98002,West,Furniture,Furnishings,4.18,1,0.00,1.50
"Standard Class",Corporate,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,16.16,7,0.60,-12.12
"Second Class",Consumer,"United States",Harrisonburg,Virginia,22801,South,Furniture,Tables,1441.30,7,0.00,245.02
"Standard Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Furnishings,77.60,5,0.20,28.13
"Standard Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Furnishings,4.66,2,0.20,1.57
"Standard Class",Corporate,"United States","Los Angeles",California,90045,West,Furniture,Tables,170.14,3,0.20,-8.51
"Standard Class",Consumer,"United States",Chicago,Illinois,60623,Central,Furniture,Furnishings,29.32,2,0.60,-24.19
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,Furniture,Chairs,62.96,3,0.30,-2.70
"Standard Class",Consumer,"United States",Redmond,Oregon,97756,West,Furniture,Furnishings,11.84,4,0.20,3.11
"Standard Class",Consumer,"United States",Redmond,Oregon,97756,West,Furniture,Furnishings,22.78,1,0.20,4.84
"Same Day","Home Office","United States",Muskogee,Oklahoma,74403,Central,Furniture,Tables,262.11,1,0.00,62.91
"Standard Class",Corporate,"United States",Monroe,"North Carolina",28110,South,Furniture,Chairs,207.00,3,0.20,25.88
"Standard Class",Corporate,"United States",Charlotte,"North Carolina",28205,South,Furniture,Furnishings,44.13,4,0.20,12.14
"Standard Class",Corporate,"United States","Bowling Green",Kentucky,42104,South,Furniture,Chairs,140.81,1,0.00,39.43
"Second Class",Corporate,"United States","San Antonio",Texas,78207,Central,Furniture,Furnishings,40.78,2,0.60,-30.59
"Second Class","Home Office","United States",Washington,"District of Columbia",20016,East,Furniture,Furnishings,37.68,2,0.00,15.83
"Same Day",Corporate,"United States","Los Angeles",California,90004,West,Furniture,Chairs,362.35,3,0.20,27.18
"First Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Bookcases,257.57,2,0.20,-28.98
"Standard Class",Corporate,"United States",Aurora,Colorado,80013,West,Furniture,Tables,727.45,5,0.50,-465.57
"Standard Class",Corporate,"United States",Aurora,Colorado,80013,West,Furniture,Furnishings,24.96,3,0.20,4.37
"First Class",Corporate,"United States",Henderson,Nevada,89015,West,Furniture,Furnishings,196.45,5,0.00,70.72
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,Furniture,Chairs,801.57,2,0.20,50.10
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,Furniture,Tables,272.85,1,0.20,27.28
"Standard Class",Consumer,"United States",Spokane,Washington,99207,West,Furniture,Tables,70.98,1,0.00,20.58
"Standard Class",Consumer,"United States","Long Beach","New York",11561,East,Furniture,Bookcases,176.78,1,0.20,-22.10
"Standard Class",Consumer,"United States","Los Angeles",California,90049,West,Furniture,Chairs,393.57,4,0.20,-44.28
"Same Day",Consumer,"United States","New York City","New York",10011,East,Furniture,Chairs,383.61,7,0.10,63.93
"Second Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Furnishings,31.56,3,0.00,10.41
"First Class",Consumer,"United States",Fairfield,Ohio,45014,East,Furniture,Tables,409.59,3,0.40,-122.88
"Second Class",Consumer,"United States",Miami,Florida,33178,South,Furniture,Tables,174.06,3,0.45,-110.76
"First Class",Corporate,"United States",Springfield,Oregon,97477,West,Furniture,Chairs,478.48,2,0.20,47.85
"First Class",Corporate,"United States","Los Angeles",California,90008,West,Furniture,Furnishings,136.92,4,0.00,41.08
"Standard Class",Consumer,"United States",Oceanside,"New York",11572,East,Furniture,Furnishings,18.96,2,0.00,8.53
"First Class",Corporate,"United States",Watertown,"New York",13601,East,Furniture,Chairs,462.56,2,0.10,97.65
"Second Class",Consumer,"United States",Lafayette,Louisiana,70506,South,Furniture,Bookcases,145.74,3,0.00,23.32
"Second Class",Consumer,"United States",Lafayette,Louisiana,70506,South,Furniture,Furnishings,15.40,5,0.00,7.39
"Second Class","Home Office","United States","San Francisco",California,94109,West,Furniture,Furnishings,14.73,3,0.00,4.86
"Standard Class",Consumer,"United States",Broomfield,Colorado,80020,West,Furniture,Chairs,662.88,3,0.20,74.57
"Standard Class",Corporate,"United States","New York City","New York",10009,East,Furniture,Furnishings,11.54,2,0.00,3.46
"Standard Class",Corporate,"United States","New York City","New York",10009,East,Furniture,Tables,254.53,1,0.40,-93.33
"Standard Class",Corporate,"United States","New York City","New York",10009,East,Furniture,Chairs,1282.41,5,0.10,213.74
"Second Class",Corporate,"United States",Montgomery,Alabama,36116,South,Furniture,Chairs,545.88,6,0.00,70.96
"Same Day",Consumer,"United States",Glendale,Arizona,85301,West,Furniture,Chairs,933.54,4,0.20,105.02
"Second Class",Corporate,"United States",Brentwood,California,94513,West,Furniture,Furnishings,23.88,3,0.00,10.51
"Standard Class",Consumer,"United States",Springfield,Missouri,65807,Central,Furniture,Tables,1024.38,7,0.00,215.12
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,Furniture,Furnishings,8.75,4,0.60,-3.72
"Second Class",Consumer,"United States",Louisville,Kentucky,40214,South,Furniture,Chairs,304.45,5,0.00,76.11
"First Class",Consumer,"United States",Chicago,Illinois,60623,Central,Furniture,Bookcases,183.37,2,0.30,-36.67
"Standard Class",Consumer,"United States",Auburn,Alabama,36830,South,Furniture,Chairs,350.98,1,0.00,84.24
"First Class","Home Office","United States",Providence,"Rhode Island",2908,East,Furniture,Chairs,872.32,4,0.00,244.25
"First Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Bookcases,141.96,2,0.00,39.75
"Standard Class",Consumer,"United States",Rochester,Minnesota,55901,Central,Furniture,Chairs,269.97,3,0.00,51.29
"Standard Class","Home Office","United States",Peoria,Arizona,85345,West,Furniture,Furnishings,75.36,5,0.20,20.72
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,289.80,7,0.20,36.23
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,341.49,8,0.30,-73.18
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,25.34,6,0.20,3.48
"Standard Class",Consumer,"United States",Richmond,Indiana,47374,Central,Furniture,Furnishings,17.31,3,0.00,5.19
"First Class",Consumer,"United States",Detroit,Michigan,48227,Central,Furniture,Chairs,1586.69,7,0.00,412.54
"First Class",Consumer,"United States",Detroit,Michigan,48227,Central,Furniture,Tables,411.80,2,0.00,70.01
"Standard Class",Corporate,"United States","Los Angeles",California,90049,West,Furniture,Chairs,146.35,3,0.20,-9.15
"Standard Class",Consumer,"United States",Pomona,California,91767,West,Furniture,Tables,710.83,3,0.20,-97.74
"Standard Class",Consumer,"United States",Ontario,California,91761,West,Furniture,Chairs,283.92,5,0.20,-46.14
"Standard Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Furnishings,58.20,3,0.00,28.52
"Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,Furniture,Furnishings,7.71,2,0.20,1.74
"Standard Class",Consumer,"United States",Wilmington,Delaware,19805,East,Furniture,Tables,310.44,3,0.30,-48.78
"Standard Class","Home Office","United States",Moorhead,Minnesota,56560,Central,Furniture,Chairs,479.90,5,0.00,81.58
"Same Day","Home Office","United States",Tucson,Arizona,85705,West,Furniture,Chairs,259.14,4,0.20,-25.91
"Same Day",Consumer,"United States",Redlands,California,92374,West,Furniture,Chairs,323.14,4,0.20,20.20
"Same Day",Consumer,"United States",Redlands,California,92374,West,Furniture,Bookcases,425.83,1,0.15,20.04
"Second Class",Consumer,"United States",Rochester,"New York",14609,East,Furniture,Tables,209.67,1,0.40,-13.98
"First Class",Corporate,"United States",Sunnyvale,California,94086,West,Furniture,Chairs,215.98,3,0.20,-2.70
"Second Class","Home Office","United States",Lansing,Michigan,48911,Central,Furniture,Bookcases,241.96,2,0.00,41.13
"Standard Class","Home Office","United States",Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,64.94,3,0.20,6.49
"Second Class",Corporate,"United States",Dover,"New Hampshire",3820,East,Furniture,Furnishings,139.86,7,0.00,60.14
"Standard Class",Consumer,"United States","Grand Prairie",Texas,75051,Central,Furniture,Furnishings,14.76,5,0.60,-11.44
"Standard Class",Corporate,"United States","Long Beach","New York",11561,East,Furniture,Tables,991.76,3,0.40,-347.12
"Standard Class",Corporate,"United States",York,Pennsylvania,17403,East,Furniture,Chairs,422.06,3,0.30,-18.09
"Standard Class",Consumer,"United States",Concord,California,94521,West,Furniture,Furnishings,43.31,1,0.00,4.33
"Standard Class",Consumer,"United States","College Station",Texas,77840,Central,Furniture,Chairs,233.06,3,0.30,-53.27
"Standard Class","Home Office","United States",Dallas,Texas,75081,Central,Furniture,Furnishings,22.61,3,0.60,-10.17
"Same Day",Consumer,"United States",Cincinnati,Ohio,45231,East,Furniture,Furnishings,79.38,1,0.20,29.77
"Standard Class",Consumer,"United States",Laredo,Texas,78041,Central,Furniture,Furnishings,139.92,5,0.60,-150.41
"Standard Class",Corporate,"United States","San Angelo",Texas,76903,Central,Furniture,Chairs,305.31,2,0.30,-8.72
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Chairs,442.76,4,0.10,59.04
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Furnishings,63.68,8,0.00,28.02
"Standard Class",Consumer,"United States",Columbus,Indiana,47201,Central,Furniture,Furnishings,121.30,2,0.00,25.47
"Standard Class",Consumer,"United States","Little Rock",Arkansas,72209,South,Furniture,Furnishings,22.20,6,0.00,9.10
"Standard Class","Home Office","United States",Seattle,Washington,98103,West,Furniture,Furnishings,191.82,3,0.00,74.81
"Standard Class",Consumer,"United States",Lancaster,Pennsylvania,17602,East,Furniture,Furnishings,20.10,1,0.20,1.76
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Furnishings,27.42,1,0.00,11.24
"First Class",Consumer,"United States","San Jose",California,95123,West,Furniture,Chairs,108.61,4,0.20,9.50
"Same Day",Consumer,"United States",Marion,Ohio,43302,East,Furniture,Chairs,70.69,1,0.30,-24.24
"Second Class",Consumer,"United States",Littleton,Colorado,80122,West,Furniture,Bookcases,72.29,1,0.70,-98.80
"Standard Class",Consumer,"United States","New York City","New York",10024,East,Furniture,Tables,330.59,1,0.40,-115.71
"Standard Class",Consumer,"United States","La Porte",Indiana,46350,Central,Furniture,Furnishings,526.45,5,0.00,31.59
"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,44.40,2,0.60,-52.17
"Standard Class",Corporate,"United States",Bangor,Maine,4401,East,Furniture,Furnishings,109.48,2,0.00,33.94
"First Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Chairs,1212.96,7,0.20,90.97
"First Class",Consumer,"United States",Arlington,Virginia,22204,South,Furniture,Bookcases,359.97,3,0.00,79.19
"Standard Class",Consumer,"United States","San Francisco",California,94122,West,Furniture,Furnishings,435.26,7,0.00,95.76
"Second Class",Corporate,"United States","Los Angeles",California,90036,West,Furniture,Tables,143.43,1,0.20,3.59
"Second Class",Corporate,"United States","Los Angeles",California,90036,West,Furniture,Chairs,122.35,3,0.20,13.76
"Standard Class",Consumer,"United States",Southaven,Mississippi,38671,South,Furniture,Tables,85.98,1,0.00,22.35
"First Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,97.57,2,0.20,-6.10
"First Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,614.27,8,0.20,-23.04
"First Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Bookcases,199.98,2,0.00,38.00
"First Class",Corporate,"United States",Seattle,Washington,98115,West,Furniture,Tables,892.98,2,0.00,80.37
"Standard Class",Corporate,"United States",Columbus,Georgia,31907,South,Furniture,Furnishings,595.38,6,0.00,297.69
"Standard Class",Corporate,"United States",Middletown,Connecticut,6457,East,Furniture,Furnishings,181.95,3,0.00,38.21
"Standard Class",Consumer,"United States","New York City","New York",10011,East,Furniture,Furnishings,259.70,5,0.00,106.48
"Second Class","Home Office","United States",Roswell,Georgia,30076,South,Furniture,Chairs,723.92,4,0.00,188.22
"First Class",Corporate,"United States",Chicago,Illinois,60623,Central,Furniture,Bookcases,141.37,2,0.30,-14.14
"First Class","Home Office","United States",Peoria,Arizona,85345,West,Furniture,Chairs,280.79,1,0.20,35.10
"Standard Class",Corporate,"United States","Sioux Falls","South Dakota",57103,Central,Furniture,Chairs,182.94,3,0.00,27.44
"Second Class",Corporate,"United States","New York City","New York",10035,East,Furniture,Bookcases,46.38,1,0.20,1.16
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,547.14,4,0.20,-68.39
"First Class","Home Office","United States",Franklin,Massachusetts,2038,East,Furniture,Furnishings,63.20,5,0.00,23.38
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Furniture,Tables,557.59,5,0.30,0.00
"First Class",Corporate,"United States","San Francisco",California,94122,West,Furniture,Bookcases,1552.83,7,0.15,200.95
"Standard Class",Corporate,"United States","New York City","New York",10024,East,Furniture,Tables,1579.75,7,0.40,-447.59
"Standard Class",Corporate,"United States","New York City","New York",10024,East,Furniture,Tables,1071.58,4,0.40,-553.65
"Standard Class",Corporate,"United States","New York City","New York",10024,East,Furniture,Tables,613.91,3,0.40,-122.78
"Standard Class","Home Office","United States",Waynesboro,Virginia,22980,South,Furniture,Furnishings,127.88,2,0.00,40.92
"Second Class",Consumer,"United States",Sacramento,California,95823,West,Furniture,Chairs,120.71,1,0.20,-18.11
"Standard Class",Corporate,"United States",Fairfield,Ohio,45014,East,Furniture,Furnishings,532.70,6,0.20,-26.64
"Second Class",Corporate,"United States",Aurora,Illinois,60505,Central,Furniture,Furnishings,60.29,8,0.60,-27.13
"Second Class",Corporate,"United States",Aurora,Illinois,60505,Central,Furniture,Chairs,253.37,2,0.30,-14.48
"Standard Class","Home Office","United States",Lorain,Ohio,44052,East,Furniture,Furnishings,54.71,7,0.20,11.63
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Furnishings,113.92,4,0.00,42.15
"Standard Class",Corporate,"United States",Huntsville,Texas,77340,Central,Furniture,Bookcases,956.66,7,0.32,-225.10
"First Class","Home Office","United States","San Francisco",California,94122,West,Furniture,Furnishings,211.84,8,0.00,76.26
"Standard Class",Consumer,"United States","Los Angeles",California,90045,West,Furniture,Tables,629.06,3,0.20,31.45
"Standard Class",Consumer,"United States",Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,754.45,5,0.00,60.36
"Standard Class","Home Office","United States",Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0.00,60.39
"Standard Class",Consumer,"United States",Fairfield,Ohio,45014,East,Furniture,Tables,273.06,2,0.40,-104.67
"Standard Class",Corporate,"United States",Arlington,Texas,76017,Central,Furniture,Furnishings,12.54,7,0.60,-9.09
